scenario,parameter,domain,level,outcome,value,baseline_value,delta_from_baseline
anaphylaxis,alveolar_oxygen_reserve,respiration,1.3,rescue_margin,0.942,0.942,0.0
anaphylaxis,airway_resistance_factor,respiration,0.8,spo2_nadir,96.1,96.1,0.0
anaphylaxis,airway_resistance_factor,respiration,0.8,map_nadir,51.8,51.8,0.0
anaphylaxis,airway_resistance_factor,respiration,0.8,lactate_peak,1.721,1.721,0.0
anaphylaxis,airway_resistance_factor,respiration,0.8,rescue_margin,0.942,0.942,0.0
anaphylaxis,airway_resistance_factor,respiration,1.0333,spo2_nadir,95.555,96.1,-0.545
anaphylaxis,airway_resistance_factor,respiration,1.0333,map_nadir,51.8,51.8,0.0
anaphylaxis,airway_resistance_factor,respiration,1.0333,lactate_peak,1.721,1.721,0.0
anaphylaxis,airway_resistance_factor,respiration,1.0333,rescue_margin,0.942,0.942,0.0
anaphylaxis,airway_resistance_factor,respiration,1.2667,spo2_nadir,91.731,96.1,-4.369
anaphylaxis,airway_resistance_factor,respiration,1.2667,map_nadir,51.8,51.8,0.0
anaphylaxis,airway_resistance_factor,respiration,1.2667,lactate_peak,1.741,1.721,0.02
anaphylaxis,airway_resistance_factor,respiration,1.2667,rescue_margin,0.936,0.942,-0.006
anaphylaxis,airway_resistance_factor,respiration,1.5,spo2_nadir,87.91,96.1,-8.19
anaphylaxis,airway_resistance_factor,respiration,1.5,map_nadir,51.8,51.8,0.0
anaphylaxis,airway_resistance_factor,respiration,1.5,lactate_peak,2.034,1.721,0.313
anaphylaxis,airway_resistance_factor,respiration,1.5,rescue_margin,0.84,0.942,-0.102
anaphylaxis,airway_resistance_factor,respiration,1.7333,spo2_nadir,84.089,96.1,-12.011
anaphylaxis,airway_resistance_factor,respiration,1.7333,map_nadir,50.167,51.8,-1.633
anaphylaxis,airway_resistance_factor,respiration,1.7333,lactate_peak,2.44,1.721,0.719
anaphylaxis,airway_resistance_factor,respiration,1.7333,rescue_margin,0.715,0.942,-0.227
anaphylaxis,airway_resistance_factor,respiration,1.9667,spo2_nadir,80.265,96.1,-15.835
anaphylaxis,airway_resistance_factor,respiration,1.9667,map_nadir,48.533,51.8,-3.267
anaphylaxis,airway_resistance_factor,respiration,1.9667,lactate_peak,2.846,1.721,1.125
